Altium Designer Pick and Place Locations
C:\Users\matej\Documents\Projects\HomeButtons\Hardware\PCB\mini_rev_1.0\Project Outputs for HomeButtons_mini\Pick Place\Pick Place for HB_mini_panel.csv

========================================================================================================================
File Design Information:

Date:       21/04/23
Time:       12:37
Revision:   5518b54b1a9671e4e6911368f641169c540d58a8
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Designator6","Comment","TopLayer","JLC_FIDUTIAL","31.0000","17.0000","0",""
"Designator5","Comment","TopLayer","JLC_FIDUTIAL","31.0000","-17.0000","0",""
"Designator4","Comment","TopLayer","JLC_FIDUTIAL","-31.0000","17.0000","0",""
"Designator3","Comment","TopLayer","JLC_FIDUTIAL","-31.0000","-17.0000","0",""
"CN6","Battery contact","TopLayer","MYOUNG_MY-AA-04","21.0850","-10.5000","180","Battery contact with selectable footprint"
"CN5","Battery contact","TopLayer","MYOUNG_MY-AA-04","-21.0850","8.5000","0","Battery contact with selectable footprint"
"CN4","Battery contact","TopLayer","MYOUNG_MY-AA-04","21.0850","8.5000","180","Battery contact with selectable footprint"
"CN3","Battery contact","TopLayer","MYOUNG_MY-AA-04","-21.0850","-10.5000","0","Battery contact with selectable footprint"
"CN2","2 pin pogo connection","TopLayer","2x2_POGO_power_landing_pad","12.5000","-22.2500","270",""
"R11","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-20.6000","-1.3000","90",""
"R10","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-19.4000","-0.5000","270",""
"J4","SolderJumperV2","TopLayer","AislerRule_SolderJumper_1mm","-27.6350","14.0250","180",""
"TP25","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","24.1300","90","Test point ,1.5mm diameter, no hole"
"TP24","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","24.1300","90","Test point ,1.5mm diameter, no hole"
"SW6","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","-23.4000","23.0000","135","XKB TS-1187A-B-A-B C318884"
"SW5","TS-1187A-B-A-B","TopLayer","ESWI-TL3342F160QG_V","-23.1000","-22.6000","225","XKB TS-1187A-B-A-B C318884"
"CN1","CP2102 USB-A-to-UART adapter connector","TopLayer","CP2102_USB-A-to-UART_adapter_connector","-28.1000","-1.0300","180",""
"U3","SHTC3","TopLayer","FP-SHTC3-MFG","-24.4000","-0.9000","270","SENSOR HUMI/TEMP I2C 2% SMD"
"U2","ESP32-S2-MINI-2-N4","TopLayer","XCVR_ESP32-S2-MINI-1","-1.2500","20.5500","90","WiFi 802.11b/g/n Transceiver Module 2.412GHz ~ 2.484GHz Antenna Not Included Surface Mount"
"U1","BU33UV7NUX-E2","TopLayer","VSON010X3020","15.2000","20.0000","90","synchronous boost convertor with low
power consumption and provides a power supply for
products powered by either two-cell alkaline/NiCd/NiMH
or one-cell alkaline/Li-ion or Li-polymer battery.
Output currents can go as high as 500mA(VIN=1.8V)"
"TP23","test point 1.5mm","BottomLayer","TP1_FULL","6.3500","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP22","test point 1.5mm","BottomLayer","TP1_FULL","3.8100","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP21","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP20","test point 1.5mm","BottomLayer","TP1_FULL","-1.2700","19.0500","0","Test point ,1.5mm diameter, no hole"
"TP19","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP18","test point 1.5mm","BottomLayer","TP1_FULL","1.2700","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP17","test point 1.5mm","BottomLayer","TP1_FULL","-3.8100","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP16","test point 1.5mm","BottomLayer","TP1_FULL","-3.8100","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP15","test point 1.5mm","BottomLayer","TP1_FULL","-6.3500","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP14","test point 1.5mm","BottomLayer","TP1_FULL","6.3500","19.0500","90","Test point ,1.5mm diameter, no hole"
"TP13","test point 1.5mm","BottomLayer","TP1_FULL","3.8100","21.5900","90","Test point ,1.5mm diameter, no hole"
"TP12","test point 1.5mm","TopLayer","TP1_FULL","-22.4000","-3.7000","90","Test point ,1.5mm diameter, no hole"
"TP11","test point 1.5mm","TopLayer","TP1_FULL","-22.4000","1.9000","90","Test point ,1.5mm diameter, no hole"
"TP10","test point 1.5mm","TopLayer","TP1_FULL","2.0000","-10.4000","90","Test point ,1.5mm diameter, no hole"
"TP9","test point 1.5mm","TopLayer","TP1_FULL","-1.8000","-9.3000","90","Test point ,1.5mm diameter, no hole"
"TP8","test point 1.5mm","TopLayer","TP1_FULL","0.8000","-9.3000","90","Test point ,1.5mm diameter, no hole"
"TP7","test point 1.5mm","TopLayer","TP1_FULL","-3.1000","-10.3000","90","Test point ,1.5mm diameter, no hole"
"TP6","test point 1.5mm","TopLayer","TP1_FULL","3.2000","-9.3000","90","Test point ,1.5mm diameter, no hole"
"TP5","test point 1.5mm","TopLayer","TP1_FULL","-0.5000","-10.3000","90","Test point ,1.5mm diameter, no hole"
"TP4","test point 1.5mm","BottomLayer","TP1_FULL","-6.3500","21.5900","0","Test point ,1.5mm diameter, no hole"
"TP3","test point 1.5mm","TopLayer","TP1_FULL","23.4000","18.3000","90","Test point ,1.5mm diameter, no hole"
"TP2","test point 1.5mm","TopLayer","TP1_FULL","-7.2000","-10.6250","90","Test point ,1.5mm diameter, no hole"
"TP1","test point 1.5mm","TopLayer","TP1_FULL","-7.2000","-12.4500","0","Test point ,1.5mm diameter, no hole"
"SW4","Alps SKRB","BottomLayer","Alps_SKRB","-23.0000","-23.0000","315","SKRB series SMD tactile button Alps Alpine"
"SW3","Alps SKRB","BottomLayer","Alps_SKRB","23.0000","-23.0000","315","SKRB series SMD tactile button Alps Alpine"
"SW2","Alps SKRB","BottomLayer","Alps_SKRB","-23.0000","23.0000","315","SKRB series SMD tactile button Alps Alpine"
"SW1","Alps SKRB","BottomLayer","Alps_SKRB","23.0000","23.0000","315","SKRB series SMD tactile button Alps Alpine"
"R23","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-20.1500","-25.7500","270",""
"R22","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","-22.0500","-17.5750","225",""
"R21","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","-25.6000","-16.6750","0",""
"R20","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","22.7000","-22.8250","315",""
"R19","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","21.8250","-17.1750","315",""
"R18","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","21.6822","-23.6822","135",""
"R17","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-27.7750","18.9750","90",""
"R16","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","-17.4750","22.3750","135",""
"R15","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","-26.4000","18.9750","270",""
"R14","0603WAF100JT5E","TopLayer","RESC1608X55X30NL15T15","18.2250","22.9000","225",""
"R13","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","25.5250","22.3750","135",""
"R12","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","23.8023","22.1227","135",""
"R9","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-16.5000","17.5750","270",""
"R8","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","26.1479","16.8423","180",""
"R7","0603WAF220KT5E","TopLayer","RESC1608X55X30ML15T15","-18.6500","-18.1500","135",""
"R6","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","-18.5000","-16.5000","315",""
"R5","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","26.1479","15.4423","0",""
"R4","0603WAF1004T5E","TopLayer","RESC1608X55X30NL15T15","26.1479","14.0423","0",""
"R3","0603WAF1002T5E","TopLayer","RESC1608X55X30NL15T15","18.8000","14.5000","180",""
